i,encoding,dataset,selectivity,query_time
1,FOR,normal_200M_uint32.txt,0.05,1.28254
1,FOR,normal_200M_uint32.txt,0.1,1.28562
1,FOR,normal_200M_uint32.txt,1.0,1.33515
1,FOR,normal_200M_uint32.txt,10.0,2.42426
1,FOR,linear_200M_uint32.txt,0.001,1.05948
1,FOR,linear_200M_uint32.txt,0.01,1.29173
1,FOR,linear_200M_uint32.txt,0.05,1.32628
1,FOR,linear_200M_uint32.txt,0.1,1.32688
1,FOR,linear_200M_uint32.txt,1.0,1.37481
1,FOR,linear_200M_uint32.txt,10.0,2.47909
1,FOR,books_200M_uint32.txt,0.001,0.994568
1,FOR,books_200M_uint32.txt,0.01,1.13225
1,FOR,books_200M_uint32.txt,0.05,1.17489
1,FOR,books_200M_uint32.txt,0.1,1.17376
1,FOR,books_200M_uint32.txt,1.0,1.22002
1,FOR,books_200M_uint32.txt,10.0,2.30749
1,FOR,ml_timestamp_200M.csv,0.001,0.977811
1,FOR,ml_timestamp_200M.csv,0.01,1.16903
1,FOR,ml_timestamp_200M.csv,0.05,1.20075
1,FOR,ml_timestamp_200M.csv,0.1,1.20507
1,FOR,ml_timestamp_200M.csv,1.0,1.27518
1,FOR,ml_timestamp_200M.csv,10.0,3.24163
1,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.26279
1,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,1.69405
1,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,1.75319
1,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,1.76014
1,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,1.83013
1,FOR,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,3.80387
1,LECO,normal_200M_uint32.txt,0.001,0.787746
1,LECO,normal_200M_uint32.txt,0.01,0.906761
1,LECO,normal_200M_uint32.txt,0.05,0.9392
1,LECO,normal_200M_uint32.txt,0.1,0.943283
1,LECO,normal_200M_uint32.txt,1.0,0.982149
1,LECO,normal_200M_uint32.txt,10.0,2.21293
1,LECO,linear_200M_uint32.txt,0.001,0.789252
1,LECO,linear_200M_uint32.txt,0.01,0.902268
1,LECO,linear_200M_uint32.txt,0.05,0.931704
1,LECO,linear_200M_uint32.txt,0.1,0.929836
1,LECO,linear_200M_uint32.txt,1.0,0.983976
1,LECO,linear_200M_uint32.txt,10.0,2.20919
1,LECO,books_200M_uint32.txt,0.001,0.958863
1,LECO,books_200M_uint32.txt,0.01,1.07317
1,LECO,books_200M_uint32.txt,0.05,1.11208
1,LECO,books_200M_uint32.txt,0.1,1.10816
1,LECO,books_200M_uint32.txt,1.0,1.17961
1,LECO,books_200M_uint32.txt,10.0,2.41552
1,LECO,ml_timestamp_200M.csv,0.001,0.878213
1,LECO,ml_timestamp_200M.csv,0.01,1.0325
1,LECO,ml_timestamp_200M.csv,0.05,1.05289
1,LECO,ml_timestamp_200M.csv,0.1,1.06016
1,LECO,ml_timestamp_200M.csv,1.0,1.14465
1,LECO,ml_timestamp_200M.csv,10.0,3.26934
1,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.04128
1,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,1.32883
1,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,1.36429
1,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,1.37784
1,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,1.4636
1,LECO,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,3.57735
2,PLAIN,normal_200M_uint32.txt,0.001,1.3717
2,PLAIN,normal_200M_uint32.txt,0.01,1.72479
2,PLAIN,normal_200M_uint32.txt,0.05,1.784
2,PLAIN,normal_200M_uint32.txt,0.1,1.78507
2,PLAIN,normal_200M_uint32.txt,1.0,1.82213
2,PLAIN,normal_200M_uint32.txt,10.0,2.72413
2,PLAIN,linear_200M_uint32.txt,0.001,1.36529
2,PLAIN,linear_200M_uint32.txt,0.01,1.73056
2,PLAIN,linear_200M_uint32.txt,0.05,1.78441
2,PLAIN,linear_200M_uint32.txt,0.1,1.7867
2,PLAIN,linear_200M_uint32.txt,1.0,1.83542
2,PLAIN,linear_200M_uint32.txt,10.0,2.73307
2,PLAIN,books_200M_uint32.txt,0.001,1.45366
2,PLAIN,books_200M_uint32.txt,0.01,1.72257
2,PLAIN,books_200M_uint32.txt,0.05,1.79952
2,PLAIN,books_200M_uint32.txt,0.1,1.81085
2,PLAIN,books_200M_uint32.txt,1.0,1.84365
2,PLAIN,books_200M_uint32.txt,10.0,2.74199
2,PLAIN,ml_timestamp_200M.csv,0.001,2.05132
2,PLAIN,ml_timestamp_200M.csv,0.01,2.67001
2,PLAIN,ml_timestamp_200M.csv,0.05,2.73912
2,PLAIN,ml_timestamp_200M.csv,0.1,2.75561
2,PLAIN,ml_timestamp_200M.csv,1.0,2.81527
2,PLAIN,ml_timestamp_200M.csv,10.0,4.58793
2,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.90997
2,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,2.6159
2,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,2.69804
2,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,2.78874
2,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,2.77617
2,PLAIN,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,4.56219
2,DICT,normal_200M_uint32.txt,0.001,1.33881
2,DICT,normal_200M_uint32.txt,0.01,1.71202
2,DICT,normal_200M_uint32.txt,0.05,1.76537
2,DICT,normal_200M_uint32.txt,0.1,1.77448
2,DICT,normal_200M_uint32.txt,1.0,1.80924
2,DICT,normal_200M_uint32.txt,10.0,2.70257
2,DICT,linear_200M_uint32.txt,0.001,1.39901
2,DICT,linear_200M_uint32.txt,0.01,1.7658
2,DICT,linear_200M_uint32.txt,0.05,1.81983
2,DICT,linear_200M_uint32.txt,0.1,1.82261
2,DICT,linear_200M_uint32.txt,1.0,1.85486
2,DICT,linear_200M_uint32.txt,10.0,2.75437
2,DICT,books_200M_uint32.txt,0.001,1.48189
2,DICT,books_200M_uint32.txt,0.01,1.75622
2,DICT,books_200M_uint32.txt,0.05,1.83916
2,DICT,books_200M_uint32.txt,0.1,1.83661
2,DICT,books_200M_uint32.txt,1.0,1.88399
2,DICT,books_200M_uint32.txt,10.0,2.78694
2,DICT,ml_timestamp_200M.csv,0.001,2.00365
2,DICT,ml_timestamp_200M.csv,0.01,2.62736
2,DICT,ml_timestamp_200M.csv,0.05,2.70591
2,DICT,ml_timestamp_200M.csv,0.1,2.7069
2,DICT,ml_timestamp_200M.csv,1.0,2.78017
2,DICT,ml_timestamp_200M.csv,10.0,4.55929
2,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.001,1.97021
2,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.01,2.65988
2,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.05,2.7418
2,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,0.1,2.74832
2,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,1.0,2.81654
2,DICT,poisson_timestamps_EVENT_50000_SENSOR_2000_randomdie_OUTER_1000s_INNER_2ms_200M.csv,10.0,4.60997
